TID, Nice, Tick
15, 20, 1160
15, 20, 1161
15, 20, 1162
15, 20, 1163
15, 20, 1164
15, 20, 1165
15, 20, 1166
15, 20, 1167
15, 20, 1168
15, 20, 1169
15, 20, 1169
15, 20, 1170
15, 20, 1171
15, 20, 1172
15, 20, 1173
15, 20, 1174
15, 20, 1175
15, 20, 1176
15, 20, 1177
9, 20, 1178
12, 20, 1179
12, 20, 1180
12, 20, 1181
12, 20, 1182
12, 20, 1183
12, 20, 1184
12, 20, 1185
12, 20, 1186
12, 20, 1187
12, 20, 1188
12, 20, 1189
12, 20, 1190
12, 20, 1191
12, 20, 1192
12, 20, 1193
12, 20, 1194
12, 20, 1195
12, 20, 1196
12, 20, 1197
12, 20, 1198
12, 20, 1199
12, 20, 1200
12, 20, 1201
12, 20, 1202
12, 20, 1203
12, 20, 1204
12, 20, 1204
13, 20, 1205
12, 20, 1206
12, 20, 1210
13, 20, 1256
15, 20, 1256
15, 20, 1210
12, 20, 1258
12, 20, 1260
12, 20, 1261
12, 20, 1262
12, 20, 1263
12, 20, 1264
12, 20, 1265
12, 20, 1266
12, 20, 1267
12, 20, 1268
12, 20, 1269
12, 20, 1270
12, 20, 1271
12, 20, 1272
12, 20, 1273
12, 20, 1274
12, 20, 1275
12, 20, 1276
12, 20, 1276
12, 20, 1277
12, 20, 1278
12, 20, 1279
12, 20, 1280
12, 20, 1281
12, 20, 1282
12, 20, 1283
13, 20, 1284
12, 20, 1285
12, 20, 1289
15, 20, 1335
15, 20, 1289
13, 20, 1335
12, 20, 1337
12, 20, 1339
12, 20, 1340
12, 20, 1341
12, 20, 1342
12, 20, 1343
12, 20, 1344
12, 20, 1345
12, 20, 1346
12, 20, 1347
12, 20, 1348
12, 20, 1349
12, 20, 1350
12, 20, 1351
12, 20, 1351
12, 20, 1352
12, 20, 1353
12, 20, 1354
12, 20, 1355
12, 20, 1356
12, 20, 1357
12, 20, 1358
12, 20, 1359
12, 20, 1360
12, 20, 1361
12, 20, 1362
15, 20, 1363
12, 20, 1364
12, 20, 1368
13, 20, 1414
13, 20, 1368
15, 20, 1414
12, 20, 1416
12, 20, 1418
12, 20, 1419
12, 20, 1420
12, 20, 1421
12, 20, 1422
12, 20, 1423
12, 20, 1424
12, 20, 1425
12, 20, 1426
12, 20, 1427
12, 20, 1427
12, 20, 1428
12, 20, 1429
12, 20, 1430
12, 20, 1431
12, 20, 1432
12, 20, 1433
12, 20, 1434
12, 20, 1435
12, 20, 1436
12, 20, 1437
12, 20, 1438
12, 20, 1439
12, 20, 1440
12, 20, 1441
13, 20, 1442
12, 20, 1443
12, 20, 1447
15, 20, 1493
15, 20, 1447
13, 20, 1493
12, 20, 1495
12, 20, 1497
12, 20, 1498
12, 20, 1499
12, 20, 1500
12, 20, 1501
12, 20, 1502
12, 20, 1503
12, 20, 1504
12, 20, 1505
12, 20, 1506
12, 20, 1506
12, 20, 1507
12, 20, 1508
12, 20, 1509
12, 20, 1510
12, 20, 1511
12, 20, 1512
12, 20, 1513
12, 20, 1514
12, 20, 1515
12, 20, 1516
12, 20, 1517
12, 20, 1518
12, 20, 1519
12, 20, 1520
15, 20, 1521
12, 20, 1522
12, 20, 1526
13, 20, 1572
13, 20, 1526
15, 20, 1572
12, 20, 1574
12, 20, 1576
12, 20, 1577
12, 20, 1578
12, 20, 1579
12, 20, 1580
12, 20, 1581
12, 20, 1582
12, 20, 1583
12, 20, 1584
12, 20, 1585
12, 20, 1586
12, 20, 1587
12, 20, 1588
12, 20, 1589
12, 20, 1590
12, 20, 1590
12, 20, 1591
12, 20, 1592
12, 20, 1593
12, 20, 1594
12, 20, 1595
12, 20, 1596
12, 20, 1597
12, 20, 1598
12, 20, 1599
13, 20, 1600
12, 20, 1601
12, 20, 1605
15, 20, 1651
15, 20, 1605
13, 20, 1651
12, 20, 1653
12, 20, 1655
12, 20, 1656
12, 20, 1657
12, 20, 1658
12, 20, 1659
12, 20, 1660
12, 20, 1661
12, 20, 1662
12, 20, 1663
12, 20, 1664
12, 20, 1665
12, 20, 1666
12, 20, 1666
12, 20, 1667
12, 20, 1668
12, 20, 1669
12, 20, 1670
12, 20, 1671
12, 20, 1672
12, 20, 1673
12, 20, 1674
12, 20, 1675
12, 20, 1676
12, 20, 1677
12, 20, 1678
15, 20, 1679
12, 20, 1680
12, 20, 1684
13, 20, 1730
13, 20, 1684
15, 20, 1730
12, 20, 1732
12, 20, 1734
12, 20, 1735
12, 20, 1736
12, 20, 1737
12, 20, 1738
12, 20, 1739
12, 20, 1740
12, 20, 1741
12, 20, 1741
12, 20, 1742
12, 20, 1743
12, 20, 1744
12, 20, 1745
12, 20, 1746
12, 20, 1747
12, 20, 1748
12, 20, 1749
12, 20, 1750
12, 20, 1751
12, 20, 1752
12, 20, 1753
12, 20, 1754
12, 20, 1755
12, 20, 1756
12, 20, 1757
13, 20, 1758
12, 20, 1759
12, 20, 1763
15, 20, 1809
15, 20, 1763
13, 20, 1809
12, 20, 1811
12, 20, 1813
12, 20, 1814
12, 20, 1815
12, 20, 1816
12, 20, 1817
12, 20, 1818
12, 20, 1819
12, 20, 1820
12, 20, 1821
12, 20, 1822
12, 20, 1822
12, 20, 1823
12, 20, 1824
12, 20, 1825
12, 20, 1826
12, 20, 1827
12, 20, 1828
12, 20, 1829
12, 20, 1830
12, 20, 1831
12, 20, 1832
12, 20, 1833
12, 20, 1834
12, 20, 1835
12, 20, 1836
15, 20, 1837
12, 20, 1838
12, 20, 1842
13, 20, 1888
13, 20, 1842
15, 20, 1888
12, 20, 1890
12, 20, 1892
12, 20, 1893
12, 20, 1894
12, 20, 1895
12, 20, 1896
12, 20, 1897
12, 20, 1898
12, 20, 1899
12, 20, 1900
12, 20, 1901
12, 20, 1902
12, 20, 1902
12, 20, 1903
12, 20, 1904
12, 20, 1905
12, 20, 1906
12, 20, 1907
12, 20, 1908
12, 20, 1909
12, 20, 1910
12, 20, 1911
12, 20, 1912
12, 20, 1913
12, 20, 1914
12, 20, 1915
13, 20, 1916
12, 20, 1917
12, 20, 1921
12, 20, 1967
15, 20, 1968
15, 20, 1921
13, 20, 1971
7, 20, 1971
7, 20, 1973
15, 20, 1974
15, 20, 1976
15, 20, 1977
15, 20, 1977
15, 20, 1978
15, 20, 1979
15, 20, 1980
15, 20, 1981
15, 20, 1982
15, 20, 1983
15, 20, 1984
15, 20, 1985
15, 20, 1986
15, 20, 1987
15, 20, 1988
15, 20, 1989
15, 20, 1990
15, 20, 1991
15, 20, 1992
15, 20, 1993
15, 20, 1994
15, 20, 1995
15, 20, 1996
15, 20, 1997
15, 20, 1998
15, 20, 1999
13, 20, 2000
15, 20, 2001
15, 20, 2005
13, 20, 2051
13, 20, 2005
15, 20, 2052
15, 20, 2053
15, 20, 2054
15, 20, 2055
15, 20, 2056
15, 20, 2057
15, 20, 2058
15, 20, 2059
15, 20, 2060
15, 20, 2061
15, 20, 2062
15, 20, 2063
15, 20, 2064
15, 20, 2065
15, 20, 2066
15, 20, 2067
15, 20, 2068
15, 20, 2069
15, 20, 2070
