TID, Nice, Tick
10, 10, 909
10, 10, 909
10, 10, 910
10, 10, 911
10, 10, 912
10, 10, 913
10, 10, 914
10, 10, 915
10, 10, 916
10, 10, 917
10, 10, 918
10, 10, 919
10, 10, 920
10, 10, 921
10, 10, 922
10, 10, 923
10, 10, 924
10, 10, 925
10, 10, 926
10, 10, 927
10, 10, 928
10, 10, 929
10, 10, 930
12, 20, 931
10, 10, 931
10, 10, 935
13, -10, 980
13, -10, 935
15, -1, 980
11, -20, 980
10, 10, 982
10, 10, 985
10, 10, 986
10, 10, 987
10, 10, 988
10, 10, 989
10, 10, 990
10, 10, 991
10, 10, 992
10, 10, 993
10, 10, 994
10, 10, 994
10, 10, 995
10, 10, 996
10, 10, 997
10, 10, 998
10, 10, 999
10, 10, 1000
10, 10, 1001
10, 10, 1002
10, 10, 1003
10, 10, 1004
10, 10, 1005
10, 10, 1006
10, 10, 1007
10, 10, 1008
14, 1, 1009
10, 10, 1010
13, -10, 1058
15, -1, 1058
12, 20, 1058
10, 10, 1060
10, 10, 1061
10, 10, 1062
10, 10, 1063
10, 10, 1064
10, 10, 1065
10, 10, 1066
10, 10, 1067
10, 10, 1068
10, 10, 1069
10, 10, 1070
10, 10, 1071
10, 10, 1072
10, 10, 1073
10, 10, 1074
10, 10, 1075
10, 10, 1076
10, 10, 1077
10, 10, 1078
10, 10, 1079
10, 10, 1080
10, 10, 1081
10, 10, 1081
10, 10, 1082
10, 10, 1083
10, 10, 1084
11, -20, 1085
10, 10, 1086
10, 10, 1090
13, -10, 1136
15, -1, 1136
14, 1, 1136
14, 1, 1090
10, 10, 1138
10, 10, 1141
10, 10, 1142
10, 10, 1142
10, 10, 1143
10, 10, 1144
10, 10, 1145
10, 10, 1146
10, 10, 1147
10, 10, 1148
10, 10, 1149
10, 10, 1150
10, 10, 1151
10, 10, 1152
10, 10, 1153
10, 10, 1154
10, 10, 1155
10, 10, 1156
10, 10, 1157
10, 10, 1158
10, 10, 1159
10, 10, 1160
10, 10, 1161
10, 10, 1162
10, 10, 1162
10, 10, 1163
12, 20, 1164
10, 10, 1165
10, 10, 1169
11, -20, 1215
11, -20, 1169
13, -10, 1215
15, -1, 1215
10, 10, 1218
10, 10, 1220
10, 10, 1221
10, 10, 1222
10, 10, 1223
10, 10, 1223
10, 10, 1224
