TID, Nice, Tick
15, -1, 1819
14, 1, 1819
15, -1, 1823
14, 1, 1823
15, -1, 1827
14, 1, 1827
15, -1, 1831
14, 1, 1831
15, -1, 1835
14, 1, 1835
15, -1, 1839
14, 1, 1839
15, -1, 1843
14, 1, 1843
15, -1, 1847
14, 1, 1847
15, -1, 1851
14, 1, 1851
15, -1, 1855
14, 1, 1855
15, -1, 1859
14, 1, 1859
15, -1, 1863
14, 1, 1863
15, -1, 1867
14, 1, 1867
15, -1, 1871
14, 1, 1871
15, -1, 1875
14, 1, 1875
15, -1, 1879
14, 1, 1879
15, -1, 1883
14, 1, 1883
15, -1, 1887
14, 1, 1887
15, -1, 1891
14, 1, 1891
15, -1, 1895
14, 1, 1895
15, -1, 1899
14, 1, 1899
15, -1, 1903
14, 1, 1903
15, -1, 1907
14, 1, 1907
15, -1, 1911
14, 1, 1911
15, -1, 1915
14, 1, 1915
15, -1, 1919
14, 1, 1919
15, -1, 1923
14, 1, 1923
15, -1, 1927
14, 1, 1927
15, -1, 1931
14, 1, 1931
15, -1, 1935
14, 1, 1935
15, -1, 1939
14, 1, 1939
15, -1, 1943
14, 1, 1943
15, -1, 1947
14, 1, 1947
15, -1, 1951
14, 1, 1951
15, -1, 1955
14, 1, 1955
15, -1, 1959
14, 1, 1959
15, -1, 1963
14, 1, 1963
15, -1, 1967
14, 1, 1967
15, -1, 1971
14, 1, 1971
15, -1, 1975
14, 1, 1975
15, -1, 1979
14, 1, 1979
15, -1, 1983
14, 1, 1983
15, -1, 1987
14, 1, 1987
15, -1, 1991
14, 1, 1991
15, -1, 1995
14, 1, 1995
15, -1, 1999
14, 1, 1999
15, -1, 2003
14, 1, 2003
15, -1, 2007
14, 1, 2007
15, -1, 2011
14, 1, 2011
15, -1, 2015
14, 1, 2015
15, -1, 2019
9, -1, 2023
15, -1, 2023
14, 1, 2127
15, -1, 2131
14, 1, 2135
15, -1, 2139
14, 1, 2143
15, -1, 2147
14, 1, 2151
15, -1, 2155
14, 1, 2159
15, -1, 2163
14, 1, 2167
15, -1, 2171
14, 1, 2175
15, -1, 2179
14, 1, 2183
15, -1, 2187
14, 1, 2191
15, -1, 2195
14, 1, 2199
15, -1, 2203
14, 1, 2215
15, -1, 2219
14, 1, 2223
15, -1, 2227
14, 1, 2231
15, -1, 2235
14, 1, 2239
15, -1, 2243
14, 1, 2247
15, -1, 2251
14, 1, 2255
15, -1, 2259
14, 1, 2263
15, -1, 2267
14, 1, 2271
15, -1, 2275
14, 1, 2279
15, -1, 2283
14, 1, 2287
15, -1, 2291
14, 1, 2295
15, -1, 2299
14, 1, 2311
15, -1, 2315
14, 1, 2319
15, -1, 2323
14, 1, 2327
15, -1, 2331
14, 1, 2335
15, -1, 2339
14, 1, 2343
15, -1, 2347
14, 1, 2351
15, -1, 2355
14, 1, 2359
15, -1, 2363
14, 1, 2367
15, -1, 2371
14, 1, 2375
15, -1, 2379
14, 1, 2383
15, -1, 2387
14, 1, 2391
15, -1, 2395
14, 1, 2399
15, -1, 2403
14, 1, 2415
15, -1, 2419
14, 1, 2423
15, -1, 2427
14, 1, 2431
15, -1, 2435
14, 1, 2439
15, -1, 2443
14, 1, 2447
15, -1, 2451
14, 1, 2455
15, -1, 2459
15, -1, 2461
9, -1, 2462
9, -1, 2464
14, 1, 2465
14, 1, 2486
6, 1, 2487
6, 1, 2489
12, 20, 2490
12, 20, 2557
4, 20, 2558
4, 20, 2560
