/usr/libexec/qemu-kvm -hda /tmp/jbplr7wsqG.dsk -hdb build/filesys.dsk -m 4 -net none -nographic -monitor null
PiLo hda1
Loading...........
Kernel command line: -sched-instrument -q run shell
Pintos booting with 4,088 kB RAM...
382 pages available in kernel pool.
382 pages available in user pool.
Calibrating timer...  3,352,166,400 loops/s.
hda: 1,008 sectors (504 kB), model "QM00001", serial "QEMU HARDDISK"
hda1: 185 sectors (92 kB), Pintos OS kernel (20)
hdb: 5,040 sectors (2 MB), model "QM00002", serial "QEMU HARDDISK"
hdb1: 4,096 sectors (2 MB), Pintos file system (21)
filesys: using hdb1
Boot complete.
Executing 'shell':
Shell starting...
pintos> nice 20 count-looper 100000 &
*TID: 6, Nice: 0, Tick: 549
*TID: 6, Nice: 0, Tick: 550
*TID: 6, Nice: 0, Tick: 551
*TID: 6, Nice: 0, Tick: 552
*TID: 6, Nice: 0, Tick: 553
*TID: 6, Nice: 0, Tick: 554
*TID: 6, Nice: 0, Tick: 555
*TID: 6, Nice: 0, Tick: 556
*TID: 6, Nice: 0, Tick: 557
*TID: 6, Nice: 0, Tick: 558
*TID: 6, Nice: 0, Tick: 559
*TID: 6, Nice: 0, Tick: 560
*TID: 6, Nice: 0, Tick: 561
*TID: 6, Nice: 0, Tick: 562
*TID: 6, Nice: 0, Tick: 563
*TID: 6, Nice: 0, Tick: 564
*TID: 6, Nice: 0, Tick: 565
*TID: 6, Nice: 0, Tick: 566
*TID: 6, Nice: 0, Tick: 567
*TID: 6, Nice: 0, Tick: 568
*TID: 6, Nice: 0, Tick: 569
*TID: 6, Nice: 0, Tick: 570
*TID: 6, Nice: 0, Tick: 571
*TID: 6, Nice: 0, Tick: 572
*TID: 6, Nice: 0, Tick: 573
*TID: 6, Nice: 0, Tick: 574
*TID: 6, Nice: 0, Tick: 575
*TID: 6, Nice: 0, Tick: 576
pintos> nice 20 cat-looper 10 states.txt &
*TID: 5, Nice: 20, Tick: 578
*TID: 6, Nice: 20, Tick: 578
nice: set nice to 20
*TID: 7, Nice: 0, Tick: 581
*TID: 7, Nice: 0, Tick: 582
*TID: 7, Nice: 0, Tick: 583
*TID: 7, Nice: 0, Tick: 584
*TID: 7, Nice: 0, Tick: 585
*TID: 7, Nice: 0, Tick: 586
*TID: 7, Nice: 0, Tick: 587
*TID: 7, Nice: 0, Tick: 588
*TID: 7, Nice: 0, Tick: 589
*TID: 7, Nice: 0, Tick: 590
*TID: 7, Nice: 0, Tick: 591
*TID: 7, Nice: 0, Tick: 592
*TID: 7, Nice: 0, Tick: 593
*TID: 7, Nice: 0, Tick: 594
*TID: 7, Nice: 0, Tick: 595
*TID: 7, Nice: 0, Tick: 596
*TID: 7, Nice: 0, Tick: 597
*TID: 7, Nice: 0, Tick: 598
*TID: 7, Nice: 0, Tick: 599
*TID: 7, Nice: 0, Tick: 600
*TID: 7, Nice: 0, Tick: 601
*TID: 7, Nice: 0, Tick: 602
*TID: 7, Nice: 0, Tick: 603
*TID: 7, Nice: 0, Tick: 604
*TID: 7, Nice: 0, Tick: 605
*TID: 7, Nice: 0, Tick: 606
*TID: 7, Nice: 0, Tick: 607
*TID: 7, Nice: 0, Tick: 608
*TID: 7, Nice: 0, Tick: 609
*TID: 7, Nice: 0, Tick: 610
*TID: 7, Nice: 0, Tick: 611
*TID: 7, Nice: 0, Tick: 612
*TID: 7, Nice: 0, Tick: 613
*TID: 7, Nice: 0, Tick: 614
*TID: 7, Nice: 0, Tick: 615
*TID: 7, Nice: 0, Tick: 616
*TID: 7, Nice: 0, Tick: 617
*TID: 7, Nice: 0, Tick: 618
*TID: 7, Nice: 0, Tick: 619
*TID: 7, Nice: 0, Tick: 620
*TID: 7, Nice: 0, Tick: 621
*TID: 7, Nice: 0, Tick: 622
*TID: 7, Nice: 0, Tick: 623
*TID: 7, Nice: 0, Tick: 624
*TID: 7, Nice: 0, Tick: 625
*TID: 7, Nice: 0, Tick: 626
*TID: 7, Nice: 0, Tick: 627
*TID: 7, Nice: 0, Tick: 628
*TID: 7, Nice: 0, Tick: 629
*TID: 7, Nice: 0, Tick: 630
*TID: 7, Nice: 0, Tick: 631
*TID: 7, Nice: 0, Tick: 632
pintos> nice 20 count-looper 100000 &
*TID: 4, Nice: 20, Tick: 634
*TID: 7, Nice: 20, Tick: 634
nice: set nice to 20
*TID: 8, Nice: 0, Tick: 637
*TID: 8, Nice: 0, Tick: 638
*TID: 8, Nice: 0, Tick: 639
*TID: 8, Nice: 0, Tick: 640
*TID: 8, Nice: 0, Tick: 641
*TID: 8, Nice: 0, Tick: 642
*TID: 8, Nice: 0, Tick: 643
*TID: 8, Nice: 0, Tick: 644
*TID: 8, Nice: 0, Tick: 645
*TID: 8, Nice: 0, Tick: 646
*TID: 8, Nice: 0, Tick: 647
*TID: 8, Nice: 0, Tick: 648
*TID: 8, Nice: 0, Tick: 649
*TID: 8, Nice: 0, Tick: 650
*TID: 8, Nice: 0, Tick: 651
*TID: 8, Nice: 0, Tick: 652
*TID: 8, Nice: 0, Tick: 653
*TID: 8, Nice: 0, Tick: 654
*TID: 8, Nice: 0, Tick: 655
*TID: 8, Nice: 0, Tick: 656
*TID: 8, Nice: 0, Tick: 657
*TID: 8, Nice: 0, Tick: 658
*TID: 8, Nice: 0, Tick: 659
*TID: 8, Nice: 0, Tick: 660
*TID: 8, Nice: 0, Tick: 661
*TID: 8, Nice: 0, Tick: 662
*TID: 8, Nice: 0, Tick: 663
*TID: 8, Nice: 0, Tick: 664
*TID: 8, Nice: 0, Tick: 665
*TID: 8, Nice: 0, Tick: 666
*TID: 8, Nice: 0, Tick: 667
*TID: 8, Nice: 0, Tick: 668
*TID: 8, Nice: 0, Tick: 669
*TID: 8, Nice: 0, Tick: 670
*TID: 8, Nice: 0, Tick: 671
*TID: 8, Nice: 0, Tick: 672
*TID: 8, Nice: 0, Tick: 673
*TID: 8, Nice: 0, Tick: 674
*TID: 8, Nice: 0, Tick: 675
*TID: 8, Nice: 0, Tick: 676
*TID: 8, Nice: 0, Tick: 677
*TID: 8, Nice: 0, Tick: 678
*TID: 8, Nice: 0, Tick: 679
*TID: 8, Nice: 0, Tick: 680
*TID: 8, Nice: 0, Tick: 681
*TID: 8, Nice: 0, Tick: 682
*TID: 8, Nice: 0, Tick: 683
*TID: 8, Nice: 0, Tick: 684
*TID: 8, Nice: 0, Tick: 684
*TID: 8, Nice: 0, Tick: 685
*TID: 8, Nice: 0, Tick: 686
*TID: 8, Nice: 0, Tick: 687
pintos> nice 20 cat-looper 10 states.txt &
*TID: 5, Nice: 20, Tick: 690
*TID: 8, Nice: 20, Tick: 690
nice: set nice to 20
*TID: 9, Nice: 0, Tick: 692
*TID: 9, Nice: 0, Tick: 693
*TID: 9, Nice: 0, Tick: 694
*TID: 9, Nice: 0, Tick: 695
*TID: 9, Nice: 0, Tick: 696
*TID: 9, Nice: 0, Tick: 697
*TID: 9, Nice: 0, Tick: 698
*TID: 9, Nice: 0, Tick: 699
*TID: 9, Nice: 0, Tick: 700
*TID: 9, Nice: 0, Tick: 701
*TID: 9, Nice: 0, Tick: 702
*TID: 9, Nice: 0, Tick: 703
*TID: 9, Nice: 0, Tick: 704
*TID: 9, Nice: 0, Tick: 705
*TID: 9, Nice: 0, Tick: 706
*TID: 9, Nice: 0, Tick: 707
*TID: 9, Nice: 0, Tick: 708
*TID: 9, Nice: 0, Tick: 709
*TID: 9, Nice: 0, Tick: 710
*TID: 9, Nice: 0, Tick: 711
*TID: 9, Nice: 0, Tick: 712
*TID: 9, Nice: 0, Tick: 713
*TID: 9, Nice: 0, Tick: 714
*TID: 9, Nice: 0, Tick: 715
*TID: 9, Nice: 0, Tick: 716
*TID: 9, Nice: 0, Tick: 717
*TID: 9, Nice: 0, Tick: 718
*TID: 9, Nice: 0, Tick: 719
*TID: 9, Nice: 0, Tick: 720
*TID: 9, Nice: 0, Tick: 721
*TID: 9, Nice: 0, Tick: 722
*TID: 9, Nice: 0, Tick: 723
*TID: 9, Nice: 0, Tick: 724
*TID: 9, Nice: 0, Tick: 725
*TID: 9, Nice: 0, Tick: 726
*TID: 9, Nice: 0, Tick: 727
*TID: 9, Nice: 0, Tick: 728
*TID: 9, Nice: 0, Tick: 729
*TID: 9, Nice: 0, Tick: 730
*TID: 9, Nice: 0, Tick: 731
*TID: 9, Nice: 0, Tick: 732
*TID: 9, Nice: 0, Tick: 733
*TID: 9, Nice: 0, Tick: 734
*TID: 9, Nice: 0, Tick: 735
*TID: 9, Nice: 0, Tick: 736
*TID: 9, Nice: 0, Tick: 737
*TID: 9, Nice: 0, Tick: 738
*TID: 9, Nice: 0, Tick: 739
*TID: 9, Nice: 0, Tick: 740
*TID: 9, Nice: 0, Tick: 741
